mineral,depth,weight,sector
tungsten,20,60,D2
zinc,26,56,C2
tungsten,22,46,B2
copper,43,41,A1
chromium,42,30,B2
tungsten,61,839,C1
gold,35,46,B2
copper,52,15,A2
cobalt,86,34,C2
copper,73,34,A1
chromium,17,20,A2
chromium,39,30,C1
cobalt,55,7,B1
zinc,23,32,B1
iron,39,11,A1
iron,12,38,C1
copper,41,35,C2
zinc,22,56,A1
nickel,77,10,D1
lithium,22,59,A1
platinum,58,38,C1
zinc,16,44,D2
gold,16,34,A2
tungsten,23,21,A2
silver,81,36,C2
copper,65,56,D1
copper,67,39,A1
cobalt,48,44,A2
platinum,67,8,B1
zinc,84,22,B2
titanium,14,41,D2
cobalt,11,29,D1
zinc,74,27,B1
titanium,16,55,B2
zinc,46,27,B2
gold,78,51,C2
chromium,73,7,C2
platinum,44,30,A2
titanium,62,7,D1
nickel,44,30,C2
copper,16,48,B2
tungsten,13,60,D1
platinum,75,52,D1
chromium,51,15,C2
iron,87,11,C1
copper,51,5,D1
lithium,37,13,C1
zinc,84,53,B1
titanium,43,30,B1
gold,64,48,D1
copper,16,30,C1
nickel,89,12,A2
chromium,28,52,D1
lithium,80,21,A1
iron,25,49,A1
titanium,66,13,D1
copper,25,57,B1
iron,75,6,A2
gold,78,32,C1
cobalt,56,54,D1
zinc,20,20,B2
platinum,59,37,C1
chromium,69,35,B1
tungsten,66,15,A1
silver,46,32,A1
cobalt,81,15,D2
silver,49,38,A2
platinum,80,31,A1
tungsten,89,24,C2
silver,88,23,C2
platinum,70,17,D2
platinum,19,13,B2
platinum,31,41,B1
titanium,89,18,D2
gold,66,18,A2
nickel,41,10,A1
iron,11,17,C1
platinum,38,11,C1
nickel,66,50,C2
lithium,75,5,C1
chromium,45,33,C2
platinum,53,52,A2
zinc,29,26,D1
cobalt,19,28,D1
cobalt,26,50,B2
platinum,24,33,B2
chromium,18,37,A2
platinum,85,36,D2
iron,75,11,C2
platinum,90,43,D2
iron,49,25,B2
silver,39,40,C1
titanium,21,22,B1
lithium,85,6,A1
chromium,79,9,B2
tungsten,35,37,B1
copper,30,47,D2
zinc,26,20,C1
titanium,11,27,A2
zinc,62,28,D2
