name,age,subscription
Linus,28,premium
Torvalds,30,premium
Henry,21,premium
Lucas,41,free
Madison,58,free
Lucas,47,basic
Alexander,60,basic
Scarlett,34,basic
Jackson,33,basic
Abigail,27,paid
Madison,26,student
Avery,50,basic
Chloe,21,student
Alice,25,premium
James,35,paid
Sofia,36,student
David,30,free
Emily,45,paid
Matthew,32,paid
Emma,57,vip
Sofia,29,basic
Madison,30,free
Evelyn,48,vip
Michael,21,vip
Michael,60,vip
Owen,32,free
Lucas,26,paid
Avery,58,vip
William,59,paid
James,25,vip
Abigail,29,basic
James,35,student
Matthew,27,vip
Samuel,20,student
Scarlett,57,student
Luna,30,free
Luke,49,basic
Owen,53,vip
Joseph,20,vip
Ava,49,student
Benjamin,54,basic
John,22,student
William,41,free
Matthew,41,free
Matthew,19,free
Penelope,32,paid
Lucas,50,vip
Evelyn,44,student
Sofia,56,student
Benjamin,36,basic
Owen,60,free
Luna,21,student
Daniel,25,free
Grace,35,basic
John,45,student
Madison,20,paid
Elizabeth,59,free
Luke,36,free
Alexander,33,vip
David,26,student
Joseph,26,basic
Isabella,46,vip
Michael,57,vip
Jackson,29,paid
Samuel,59,free
Penelope,59,free
James,45,basic
Lucas,36,free
Madison,53,free
Sophia,20,free
Luna,27,vip
Joseph,60,free
Sophia,42,free
Abigail,50,basic
Penelope,34,basic
Elizabeth,20,student
John,48,student
Amelia,19,basic
John,26,paid
Isabella,25,basic
Scarlett,56,free
Jackson,55,vip
James,24,vip
Isabella,43,vip
Emily,18,basic
Oliver,43,paid
Mia,41,basic
Avery,20,paid
Emma,44,paid
William,44,vip
Dylan,32,free
Chloe,55,student
Michael,44,paid
Abigail,46,free
Amelia,38,paid
Ethan,56,free
Jackson,55,paid
Luke,31,vip
Gabriel,22,student
Ella,30,free
Penelope,20,free
Amelia,31,vip
Sofia,35,paid
Elizabeth,55,basic
Isabella,31,free
David,48,basic
Amelia,32,basic
Sofia,52,student
Oliver,57,basic
Emma,51,paid
Mia,23,student
Amelia,41,vip
Ethan,54,vip
Emily,26,basic
Luke,30,vip
Mia,58,free
David,53,student
Chloe,36,paid
Owen,48,basic
David,34,free
Elizabeth,49,free
Madison,53,free
Abigail,43,basic
Elizabeth,56,basic
Isabella,58,paid
Ethan,24,student
Madison,55,paid
Joseph,30,free
Amelia,36,student
Alexander,33,basic
Evelyn,51,student
Harper,23,free
Charlotte,55,basic
William,39,paid
Scarlett,30,student
James,57,paid
Luna,47,paid
Chloe,36,student
Elizabeth,42,student
Oliver,40,basic
Sofia,27,paid
Frank,18,premium
Matthew,20,basic
Samuel,42,vip
Benjamin,49,student
Abigail,51,paid
James,49,paid
Harper,28,student
Samuel,44,student
Oliver,53,paid
James,60,free
Matthew,28,paid
Evelyn,51,free
Madison,20,basic
John,31,vip
David,51,paid
Ella,28,student
Mia,42,paid
Benjamin,47,basic
Chloe,20,basic
Lucas,46,basic
Joseph,60,student
Chloe,27,basic
Isabella,34,student
Michael,33,student
Jackson,45,student
John,55,free
Joseph,53,basic
Elizabeth,25,free
Samuel,43,vip
Luke,52,basic
Jackson,51,free
Luna,40,student
Amelia,48,paid
Ella,53,student
Luke,30,paid
William,31,basic
Daniel,44,free
Evelyn,35,basic
Evelyn,22,vip
Sebastian,37,free
Alexander,46,student
Amelia,43,free
Ethan,19,basic
Ethan,53,free
Isabella,57,paid
Luna,51,basic
Sophia,48,free
Emma,21,free
Scarlett,28,vip
William,40,student
Benjamin,53,paid
Luna,25,student
Dylan,59,free
Evelyn,31,free
Amelia,46,free
John,54,student
Madison,48,vip
Ethan,55,paid
Elizabeth,48,free
Sophia,45,vip
Lucas,56,basic
Harper,28,paid
Avery,31,student
Scarlett,32,paid
Ava,47,student
Owen,60,free
Matthew,42,basic
Joseph,25,paid
Luna,53,basic
Scarlett,18,basic
Sophia,24,free
Madison,51,free
Charlotte,19,basic
Lucas,29,free
Emily,22,student
Samuel,50,student
Ava,21,paid
Charlotte,33,student
Gabriel,58,student
Owen,60,free
Mia,31,vip
Dylan,32,paid
Sofia,27,vip
Evelyn,59,basic
David,42,paid
Oliver,45,basic
Chloe,21,student
Gabriel,24,free
Benjamin,33,student
Luke,51,free
Scarlett,31,free
Emma,26,vip
Madison,41,paid
Benjamin,36,vip
William,18,vip
Matthew,28,paid
William,22,paid
Isabella,41,vip
Amelia,26,free
Isabella,57,student
Ava,22,basic
Amelia,23,vip
Ella,52,vip
Amelia,25,vip
Owen,59,student
Alexander,54,basic
Elizabeth,58,free
Owen,54,free
Mia,46,vip
Alexander,47,student
Daniel,45,vip
Luke,42,vip
David,59,vip
Samuel,27,paid
Sofia,21,free
Mia,42,free
Alexander,31,student
